Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
1,ICBC,Banking,China,175874,45223,4034482,305057
2,JPMorgan Chase,Diversified Financials,United States,132912,32738,2737188,368502
3,China Construction Bank,Banking,China,150313,38841,3382422,224988
4,Agricultural Bank of China,Banking,China,137456,30894,3293105,197045
5,Bank of America,Banking,United States,111904,28540,2377164,287339
6,Apple,Technology Hardware & Equipment,United States,261705,59431,373719,961257
7,Ping An Insurance Group,Insurance,China,151788,16300,1038300,220197
8,Bank of China,Banking,China,126677,27500,3097612,142958
9,Royal Dutch Shell,Oil & Gas Operations,Netherlands,382626,23329,399194,264939
10,Wells Fargo,Banking,United States,101456,23117,1887792,214676
11,ExxonMobil,Oil & Gas Operations,United States,279209,20840,346196,343431
12,AT&T,Telecommunications Services,United States,170805,19370,531864,233325
13,Samsung Electronics,Technology Hardware & Equipment,South Korea,221506,39882,304138,272424
14,Citigroup,Diversified Financials,United States,99974,17928,1958413,161112
15,Toyota Motor,Consumer Durables,Japan,272144,17241,465625,176602
16,Microsoft,IT Software & Services,United States,118224,33541,258859,946521
17,Alphabet,IT Software & Services,United States,136958,30736,232792,863178
18,Volkswagen Group,Consumer Durables,Germany,278243,13955,553506,91951
19,Chevron,Oil & Gas Operations,United States,158741,14824,253863,228323
20,Verizon Communications,Telecommunications Services,United States,130863,15528,264829,239705
21,HSBC Holdings,Banking,United Kingdom,64294,13664,2558124,175460
22,PetroChina,Oil & Gas Operations,China,322842,7991,354306,198651
23,Allianz,Insurance,Germany,118843,8803,1060217,102303
24,BP,Oil & Gas Operations,United Kingdom,299065,9332,282176,149548
25,Total,Oil & Gas Operations,France,184202,11401,256762,149486
26,Berkshire Hathaway,Diversified Financials,United States,247837,4021,707794,516407
27,China Mobile,Telecommunications Services,Hong Kong,111804,17906,223708,197572
28,Amazon,Retailing,United States,232887,10073,162648,916050
29,Walmart,Retailing,United States,514405,6670,219295,296094
30,Santander,Banking,Spain,89455,9214,1668166,84077
31,China Merchants Bank,Banking,China,54867,12259,982526,130355
32,UnitedHealth Group,Insurance,United States,231367,12617,161197,212778
33,Comcast,Media,United States,94507,11731,251684,192037
34,BNP Paribas,Banking,France,101602,8446,2332982,68712
35,Sinopec,Oil & Gas Operations,China,399679,9534,233003,105633
36,Softbank,Telecommunications Services,Japan,86162,13863,332311,112400
37,Daimler,Consumer Durables,Germany,197445,8552,321933,71342
37,Johnson & Johnson,Drugs & Biotechnology,United States,81575,14679,152954,366184
39,Bank of Communications,Banking,China,64752,11191,1388230,63612
40,Gazprom,Oil & Gas Operations,Russia,128430,18916,305935,59861
41,RBC,Banking,Canada,46276,9642,1040286,114929
42,Nestlé,"Food, Drink & Tobacco",Switzerland,93433,10356,138989,281294
43,Mitsubishi UFJ Financial,Banking,Japan,53664,9041,2799935,65008
44,Intel,Semiconductors,United States,70848,21053,127963,263127
45,Goldman Sachs Group,Diversified Financials,United States,51009,9878,925000,75520
46,TD Bank Group,Banking,Canada,42544,8683,1007010,103836
47,Sberbank,Banking,Russia,51607,13258,449710,78539
48,Morgan Stanley,Diversified Financials,United States,50870,8509,875964,80169
49,Boeing,Aerospace & Defense,United States,101127,10453,117359,214543
50,Petrobras,Oil & Gas Operations,Brazil,95681,7051,222015,91193
51,Nippon Telegraph & Tel,Telecommunications Services,Japan,107501,8740,199607,80173
52,Rosneft,Oil & Gas Operations,Russia,112937,8739,191272,72161
53,Procter & Gamble,Consumer Durables,United States,66912,10795,123687,265293
54,Pfizer,Drugs & Biotechnology,United States,53646,11152,159422,218630
