Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
1,Exxon Mobil,Oil & Gas Operations,United States,433526,41060,331052,407411
2,JPMorgan Chase,Banking,United States,110838,18976,2265792,170140
3,General Electric,Conglomerates,United States,147300,14151,717242,213741
4,Royal Dutch Shell,Oil & Gas Operations,Netherlands,470171,30918,340525,227597
5,ICBC,Banking,China,82591,25057.5,2039078,237401
6,HSBC Holdings,Banking,United Kingdom,102021,16209.4,2549994,164312
7,PetroChina,Oil & Gas Operations,China,310090,20575,304669,294726
8,Berkshire Hathaway,Diversified Financials,United States,143688,10254,392647,202160
9,Wells Fargo,Banking,United States,87597,15869,1313867,178710
10,Petrobras-Petróleo Brasil,Oil & Gas Operations,Brazil,145915,20121,319410,179998
11,BP,Oil & Gas Operations,United Kingdom,375517,25700,292457,147376
12,Chevron,Oil & Gas Operations,United States,236286,26895,209474,218020
13,China Construction Bank,Banking,China,68692,20458.5,1637782,201941
14,Citigroup,Banking,United States,102587,11067,1873878,107528
15,Gazprom,Oil & Gas Operations,Russia,117624,31671.8,302552,159751
16,Wal-Mart Stores,Retailing,United States,446950,15699,193406,208359
17,Volkswagen Group,Consumer Durables,Germany,221862,21455.6,328699,79536
18,Total,Oil & Gas Operations,France,216207,15936,212960,132449
19,Agricultural Bank of China,Banking,China,62429,14394.1,1563946,154813
20,BNP Paribas,Banking,France,119003,7854.1,2539104,61530
21,Bank of China,Banking,China,60834,15842.3,1583657,129053
22,Apple,Technology Hardware & Equipment,United States,127841,32982,138681,545968
23,Banco Santander,Banking,Spain,109596,6946.6,1624724,75604
24,Sinopec-China Petroleum,Oil & Gas Operations,China,391447,11634,179826,104171
25,Toyota Motor,Consumer Durables,Japan,228494,4910.4,358341,147937
26,Samsung Electronics,Semiconductors,South Korea,142397,11529,133695,161965
27,ConocoPhillips,Oil & Gas Operations,United States,230859,12436,153230,98767
28,Vodafone,Telecommunications services,United Kingdom,73532,12769.2,239163,131161
29,ENI,Oil & Gas Operations,Italy,143164,8926.2,178698,97649
30,Itaú Unibanco Holding,Banking,Brazil,75546,7427.3,426426,91176
31,China Mobile,Telecommunications services,Hong Kong-China,81706,19478.1,151207,216510
32,IBM,IT Software & Services,United States,106916,15855,116433,238696
33,AT&T,Telecommunications services,United States,126723,3944,270344,187289
34,Pfizer,Drugs & Biotechnology,United States,67425,10009,188002,165395
35,Procter & Gamble,Consumer Durables,United States,85142,10097,134311,185233
36,Mitsubishi UFJ Financial,Banking,Japan,53331,7014.4,2478846,74510
37,Daimler,Consumer Durables,Germany,138006,7340.7,188699,66334
38,American Intl Group,Insurance,United States,64237,17798,555773,50269
39,ING Group,Insurance,Netherlands,139000,7468.9,1652958,35850
40,Nestlé,"Food, Drink & Tobacco",Switzerland,89171,10114.1,119362,205417
41,Statoil,Oil & Gas Operations,Norway,111640,13148.8,127833,88974
42,Microsoft,IT Software & Services,United States,72052,23468,112243,273539
43,Banco Bradesco,Banking,Brazil,79803,5919.6,397074,65294
44,Ford Motor,Consumer Durables,United States,136264,20213,178348,47547
45,AXA Group,Insurance,France,132813,5613.4,947820,40616
45,Nippon Telegraph & Tel,Telecommunications services,Japan,123969,6130.8,226576,60816
47,Commonwealth Bank,Banking,Australia,49533,6853.1,713661,81594
47,GDF Suez,Utilities,France,117452,5185.2,275248,58329
49,BHP Billiton,Diversified Metals & Mining,Australia,71739,23648,102891,187531
50,Allianz,Insurance,Germany,134441,3303.9,832756,56270
50,Siemens,Conglomerates,Germany,98414,8226.2,135561,91995
52,Deutsche Bank,Banking,Germany,65700,5364.1,2809429,47342
53,Barclays,Banking,United Kingdom,66336,4669.3,2425200,49080
