Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
1,ICBC,Banking,China,148656,42723.3,3124887,215625
2,China Construction Bank,Banking,China,121284,34217.2,2449488,174365
3,Agricultural Bank of China,Banking,China,136446,27022.7,2405408,141105
4,JPMorgan Chase,Banking,United States,105661,17324,2435283,229747
5,Berkshire Hathaway,Diversified Financials,United States,178785,19476,493362,309102
6,Exxon Mobil,Oil & Gas Operations,United States,393969,32580,346808,422315
7,General Electric,Conglomerates,United States,143262,14838,656560,259557
8,Wells Fargo,Banking,United States,88662,21878,1543042,261375
9,Bank of China,Banking,China,105111,25516.4,2291829,124249
10,PetroChina,Oil & Gas Operations,China,328538,21069.6,386859,201966
11,Royal Dutch Shell,Oil & Gas Operations,Netherlands,451354,16413.6,357512,234059
12,Toyota Motor,Consumer Durables,Japan,255641,18848.5,385502,193542
13,Bank of America,Banking,United States,101497,11429,2113758,183251
14,HSBC Holdings,Banking,United Kingdom,79597,16259.4,2671318,192566
15,Apple,Technology Hardware & Equipment,United States,173755,37031,225184,483146
16,Citigroup,Banking,United States,94062,13411,1883364,145143
17,BP,Oil & Gas Operations,United Kingdom,379204,23615.5,305690,148814
18,Chevron,Oil & Gas Operations,United States,211772,21423,253753,227187
19,Volkswagen Group,Consumer Durables,Germany,261549,12036.2,446915,119049
20,Wal-Mart Stores,Retailing,United States,476526,16022,204751,247904
21,Gazprom,Oil & Gas Operations,Russia,164623,38972.7,397237,88824
22,Samsung Electronics,Semiconductors,South Korea,208897,27239.8,202847,186472
23,AT&T,Telecommunications services,United States,128752,18249,277787,182708
24,BNP Paribas,Banking,France,123203,6415,2480502,98614
25,Total,Oil & Gas Operations,France,227944,11205.1,239062,149843
26,Verizon Communications,Telecommunications services,United States,120550,11497,274098,197739
27,Allianz,Insurance,Germany,131370,7960.4,963078,77206
28,China Mobile,Telecommunications services,Hong Kong,102525,19789.1,192833,184573
29,Sinopec-China Petroleum,Oil & Gas Operations,China,445304,10927.5,228434,94651
30,Petrobras,Oil & Gas Operations,Brazil,141191,10915,319155,86794
31,Daimler,Consumer Durables,Germany,156635,9083.6,232209,102930
32,Microsoft,IT Software & Services,United States,83263,22822,153543,343816
33,AXA Group,Insurance,France,138934,5976.9,1018878,63369
34,Rosneft,Oil & Gas Operations,Russia,142615,12833.8,229397,69986
35,IBM,IT Software & Services,United States,99751,16483,126223,202541
36,Nestle,"Food, Drink & Tobacco",Switzerland,99408,10802.9,135427,239577
37,Mitsubishi UFJ Financial,Banking,Japan,48616,11325,2458891,77659
38,Vodafone,Telecommunications services,United Kingdom,65095,31763,235628,96897
39,Eni,Oil & Gas Operations,Italy,152705,6898.3,186553,90854
40,Procter & Gamble,Consumer Durables,United States,84738,10896,142927,217835
41,Johnson & Johnson,Health Care Equipment & Services,United States,71263,13831,132683,277006
42,American International Group,Insurance,United States,68149,9085,540744,73159
43,Banco Santander,Banking,Spain,52499,5801.7,1537292,112273
44,BHP Billiton,Diversified Metals & Mining,Australia,67671,14803.9,151015,182321
45,Pfizer,Drugs & Biotechnology,United States,52674,22003,172101,203934
46,Itaú Unibanco Holding,Banking,Brazil,67157,7605.8,435434,74873
47,Ford Motor,Consumer Durables,United States,146917,7155,202026,64505
48,BMW Group,Consumer Durables,Germany,100976,7055,190664,83366
49,Commonwealth Bank,Banking,Australia,41482,7930.5,699886,114546
50,EDF,Utilities,France,100360,4532.5,353859,75812
51,Statoil,Oil & Gas Operations,Norway,105227,6768,145974,89225
52,Google,IT Software & Services,United States,59730,12163,110920,382472
53,Siemens,Conglomerates,Germany,99654,5999.5,140099,114247
54,Novartis,Drugs & Biotechnology,Switzerland,57903,9185.8,126254,227436
55,Royal Bank of Canada,Banking,Canada,37815,8038.7,811439,95702
56,Sumitomo Mitsui Financial,Banking,Japan,46249,9714.4,1494726,58625
57,Comcast,Media,United States,64657,6816,158813,130005
58,Sberbank,Banking,Russia,56475,11415.5,554178,51484
59,Goldman Sachs Group,Diversified Financials,United States,39489,8040,911507,75121
60,Westpac Banking Group,Banking,Australia,38385,6751.4,651359,99003
61,Nippon Telegraph & Tel,Telecommunications services,Japan,110672,5747,189264,60960
62,Ping An Insurance Group,Insurance,China,58969,4574.1,552780,66129
63,Banco Bradesco,Banking,Brazil,74136,5562.2,384927,58498
64,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,43166,14474.5,141666,171208
65,Bank of Communications,Banking,China,46645,10112.6,942182,48730
66,China Life Insurance,Insurance,China,68399,4020.4,327191,79798
67,General Motors,Consumer Durables,United States,155427,5346,166344,54593
68,Telefónica,Telecommunications services,Spain,75755,6097.8,163786,71823
69,MetLife,Insurance,United States,71042,3368,885296,60042
70,Honda Motor,Consumer Durables,Japan,117698,4910.2,147918,62974
71,Enel,Utilities,Italy,106269,4294.8,226188,53183
72,BASF,Chemicals,Germany,98208,6428.3,88715,102272
73,Softbank,Telecommunications services,Japan,55624,5810,156645,91219
74,National Australia Bank,Banking,Australia,36880,5409.9,755920,75314
75,ANZ,Banking,Australia,33969,6223.5,659725,83900
76,ConocoPhillips,Oil & Gas Operations,United States,55597,9156,118057,86309
76,TD Bank Group,Banking,Canada,31267,6551.9,815190,86193
78,Intel,Semiconductors,United States,52708,9620,92358,129222
79,UBS,Diversified Financials,Switzerland,39726,3421.5,1135504,81002
80,Hewlett-Packard,Technology Hardware & Equipment,United States,112051,5306,105025,62975
81,Coca-Cola,"Food, Drink & Tobacco",United States,46253,8452,91289,168697
82,Cisco Systems,Technology Hardware & Equipment,United States,47873,8173,98427,118995
83,LukOil,Oil & Gas Operations,Russia,119167,7790.2,109439,47654
84,Boeing,Aerospace & Defense,United States,86623,4579,92663,95312
84,UnitedHealth Group,Health Care Equipment & Services,United States,122497,5625,81882,80955
84,Zurich Insurance Group,Insurance,Switzerland,71914,4023.4,397075,45778
87,Hyundai Motor,Consumer Durables,South Korea,79750,7802.5,126424,49716
87,Sanofi,Drugs & Biotechnology,France,43746,4934.8,132373,137140
89,Credit Agricole,Banking,France,65267,3325.7,2117734,41018
90,Roche Holding,Drugs & Biotechnology,Switzerland,50460,12042.3,69902,253742
90,United Technologies,Conglomerates,United States,62651,5718,90594,108067
92,Munich Re,Insurance,Germany,88026,4398.4,343086,38890
93,PepsiCo,"Food, Drink & Tobacco",United States,66415,6735,77478,126182
94,Oracle,IT Software & Services,United States,37901,11115,86562,184999
95,Bank of Nova Scotia,Banking,Canada,27729,6272.8,702126,71239
96,CVS Caremark,Retailing,United States,126761,4593,71526,87843
97,ING Group,Insurance,Netherlands,34502,4355.9,1488698,56061
98,Saudi Basic Industries,Chemicals,Saudi Arabia,50404,6740.3,90408,94403
99,Merck & Co,Drugs & Biotechnology,United States,44085,4404,105645,165763
100,Walt Disney,Media,United States,45968,6594,83166,142915
101,Mizuho Financial,Banking,Japan,28515,7497,1791617,48663
102,China Merchants Bank,Banking,China,32239,8083,634657,45192
103,Société Générale,Banking,France,45592,2887.6,1702129,49971
104,American Express,Diversified Financials,United States,34931,5312,155891,96874
104,Banco do Brasil,Banking,Brazil,68642,7297.4,552682,28287
