Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
1,ICBC,Banking,China,190467,45768.7,4914670,249532
2,JPMorgan Chase,Diversified Financials,United States,136187,40371,3689336,464822
3,Berkshire Hathaway,Diversified Financials,United States,245510,42521,873729,624408
4,China Construction Bank,Banking,China,173478,39299.2,4301700,210435
5,Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,Saudi Arabia,229747,49282.8,510252,1897165
6,Apple,Technology Hardware & Equipment,United States,293971,63930,354054,2252292
6,Bank of America,Banking,United States,98841,17894,2832182,336288
6,Ping An Insurance Group,Insurance,China,169127,20754.6,1453814,211166
9,Agricultural Bank of China,Banking,China,153920,31300.2,4159920,140084
10,Amazon,Retailing,United States,386064,21331,321195,1711839
11,Samsung Electronics,Technology Hardware & Equipment,South Korea,200703,22113,348187,510507
12,Toyota Motor,Consumer Durables,Japan,249370,14341.7,561870,219175
13,Alphabet,IT Software & Services,United States,182350,40269,319616,1538884
14,Bank of China,Banking,China,134016,27945.8,3731408,116688
15,Microsoft,IT Software & Services,United States,153284,51310,304137,1966559
16,Citigroup,Diversified Financials,United States,84370,17068,2314266,151181
17,Volkswagen Group,Consumer Durables,Germany,254081,9500.5,646384,147159
18,Walmart,Retailing,United States,559151,13510,252496,396108
19,Wells Fargo,Banking,United States,85902,7390,1959543,181546
20,Verizon Communications,Telecommunications Services,United States,128292,17801,316481,241279
21,UnitedHealth Group,Insurance,United States,262916,16883,205171,369629
22,China Merchants Bank,Banking,China,60414,14091.9,1278548,192801
23,Alibaba Group,Retailing,China,93828,23298,250056,657522
24,Allianz,Insurance,Germany,129859,7759.8,1357537,107977
25,Comcast,Media,United States,103564,10534,273869,252440
26,Goldman Sachs Group,Diversified Financials,United States,61843,15082,1302000,116459
27,Softbank,Telecommunications Services,Japan,70291,14934.9,366689,163120
28,Postal Savings Bank Of China (PSBC),Banking,China,67249,9280.8,1736173,112358
29,Tencent Holdings,IT Software & Services,China,69990,23326.7,203894,773802
30,BNP Paribas,Banking,France,102681,7553.5,3044793,79094
31,Morgan Stanley,Diversified Financials,United States,56690,13418,1158772,123918
