Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
1,ICBC,Banking,China,151381,41983.7,3473238,229805
2,China Construction Bank,Banking,China,134242,34981.4,3016578,200458
3,Berkshire Hathaway,Diversified Financials,United States,222935,24074,620854,409908
4,JPMorgan Chase,Banking,United States,102494,24231,2512986,306616
5,Wells Fargo,Banking,United States,97573,21938,1943443,274385
6,Agricultural Bank of China,Banking,China,115698,27797.5,2816039,149229
7,Bank of America,Banking,United States,92214,16563,2196847,231876
8,Bank of China,Banking,China,113107,24856.6,2611539,141321
9,Apple,Technology Hardware & Equipment,United States,217481,45217,331141,752039
10,Toyota Motor,Consumer Durables,Japan,249902,17111.5,412496,171850
11,AT&T,Telecommunications services,United States,163786,12976,403821,249286
12,Citigroup,Banking,United States,84038,14717,1795099,164316
13,ExxonMobil,Oil & Gas Operations,United States,197518,7840,330314,343165
14,General Electric,Conglomerates,United States,119690,10020,365183,261174
15,Samsung Electronics,Semiconductors,South Korea,173995,19320.7,217068,254303
16,Ping An Insurance Group,Insurance,China,106606,9460.3,801022,100811
17,Wal-Mart Stores,Retailing,United States,485252,13643,198825,221106
18,Verizon Communications,Telecommunications services,United States,125980,13127,244180,198352
19,Microsoft,IT Software & Services,United States,85270,16768,224610,507544
20,Royal Dutch Shell,Oil & Gas Operations,Netherlands,234751,4650.7,411275,228793
21,Allianz,Insurance,Germany,115725,7614,935871,83721
21,China Mobile,Telecommunications services,Hong Kong,106763,16423.4,218864,225308
23,BNP Paribas,Banking,France,74702,8370.6,2190672,80499
24,Alphabet,IT Software & Services,United States,89920,19478,167497,579499
25,China Petroleum & Chemical,Oil & Gas Operations,China,255722,6986.6,216711,105122
26,Total,Oil & Gas Operations,France,128067,6156.1,230978,128122
27,AXA Group,Insurance,France,132153,6152.7,925854,60770
28,Daimler,Consumer Durables,Germany,169537,9431.4,256292,76099
28,Volkswagen Group,Consumer Durables,Germany,240340,5690.3,458742,72941
30,Mitsubishi UFJ Financial,Banking,Japan,49173,8154.5,2589758,83858
31,Comcast,Media,United States,80403,8695,180500,193528
32,Johnson & Johnson,Health Care Equipment & Services,United States,71937,16375,141208,338644
33,Banco Santander,Banking,Spain,48336,6862.8,1412442,89409
