Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
1,ICBC,Banking,China,165338,43669.4,4210927,311014
2,China Construction Bank,Banking,China,143202,37203.1,3631583,261166
3,JPMorgan Chase,Banking,United States,118180,26496,2609785,387668
4,Berkshire Hathaway,Diversified Financials,United States,235165,39742,702651,491888
5,Agricultural Bank of China,Banking,China,129345,29638.7,3439314,184125
6,Bank of America,Banking,United States,102978,20294,2328478,313510
7,Wells Fargo,Banking,United States,102063,21693,1915388,265328
8,Apple,Technology Hardware & Equipment,United States,247535,53318,367502,926946
9,Bank of China,Banking,China,118150,26353.5,3204207,158628
10,Ping An Insurance Group,Insurance,China,141623,13888.4,1066373,181411
11,Royal Dutch Shell,Oil & Gas Operations,Netherlands,321766,15159,410719,306459
12,Toyota Motor,Consumer Durables,Japan,265165,22502.2,473044,200682
13,ExxonMobil,Oil & Gas Operations,United States,230055,20350,348826,344126
14,Samsung Electronics,Semiconductors,South Korea,224644,40994.1,293154,325865
15,AT&T,Telecommunications services,United States,159219,30643,446343,198293
16,Volkswagen Group,Consumer Durables,Germany,271951,13123.5,531393,101428
17,HSBC Holdings,Banking,United Kingdom,63169,10750.3,2652123,200293
18,Verizon Communications,Telecommunications services,United States,127992,31196,264516,200893
19,BNP Paribas,Banking,France,117774,8501.2,2353870,93581
20,Microsoft,IT Software & Services,United States,103313,14211,245497,750649
21,Chevron,Oil & Gas Operations,United States,139397,10151,256442,248119
22,Allianz,Insurance,Germany,122549,7673.3,1128585,100405
23,Alphabet,IT Software & Services,United States,117884,16637,206935,766350
24,Walmart,Retailing,United States,500343,9862,204522,246178
25,China Mobile,Telecommunications services,Hong Kong,109493,16882,233740,192632
26,Total,Oil & Gas Operations,France,155776,8391.1,257022,168012
27,Sinopec,Oil & Gas Operations,China,326585,8035.7,249937,138569
28,UnitedHealth Group,Health Care Equipment & Services,United States,207624,11222,155569,228983
29,Daimler,Consumer Durables,Germany,193217,11793.6,323196,85678
30,PetroChina,Oil & Gas Operations,China,282393,4138,381121,220199
31,Banco Santander,Banking,Spain,56068,7953.6,1769144,106323
32,China Merchants Bank,Banking,China,49936,11023.6,993732,112449
33,AXA Group,Insurance,France,149895,6745,1029142,64058
34,Comcast,Media,United States,86854,23266,190876,146792
35,China Life Insurance,Insurance,China,97129,5967,474155,104055
36,BP,Oil & Gas Operations,United Kingdom,251939,4319,275287,152567
37,Mitsubishi UFJ Financial,Banking,Japan,51760,8944.1,2774219,86166
38,Bank of Communications,Banking,China,59050,10729,1472867,66642
39,Softbank,Telecommunications services,Japan,82636,9176.6,293187,84919
40,BMW Group,Consumer Durables,Germany,114435,10239.4,241324,72348
41,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,56361,7907.8,248635,184307
42,Royal Bank of Canada,Banking,Canada,40491,8837.2,1040286,113418
43,Gazprom,Oil & Gas Operations,Russia,112226,12245.9,316803,57835
44,Pfizer,Drugs & Biotechnology,United States,52673,21748,164612,207660
45,Itaú Unibanco Holding,Banking,Brazil,62310,7548,437600,87033
46,Nippon Telegraph & Tel,Telecommunications services,Japan,104808,7740.7,191106,96119
47,Sberbank,Banking,Russia,46326,13448.6,470933,86311
48,Nestle,"Food, Drink & Tobacco",Switzerland,91227,7297.9,133792,237278
49,Intel,Semiconductors,United States,64031,11091,128596,254762
50,Morgan Stanley,Diversified Financials,United States,45587,6892,858495,97718
51,Siemens,Conglomerates,Germany,94469,7139.8,163376,112503
52,Boeing,Aerospace & Defense,United States,95798,9216,113549,199511
53,Amazon.com,Retailing,United States,193194,3938,126362,777775
54,TD Bank Group,Banking,Canada,35741,7918.2,1028093,107762
55,Procter & Gamble,Consumer Durables,United States,66408,10074,124369,184496
56,ING Group,Banking,Netherlands,56579,5532.5,1016136,62210
56,Postal Savings Bank Of China,Banking,China,56103,7633.6,1466597,55330
58,Honda Motor,Consumer Durables,Japan,138598,9558,181938,58905
59,Sumitomo Mitsui Financial,Banking,Japan,49131,7223.2,1847732,58292
60,Goldman Sachs Group,Diversified Financials,United States,43690,4863,973535,91755
61,Intesa Sanpaolo,Banking,Italy,42522,8252,956871,63060
62,Industrial Bank,Banking,China,47951,8756.2,1023094,53522
63,Novartis,Drugs & Biotechnology,Switzerland,50261,8060,135526,202983
64,Glencore International,Diversified Metals & Mining,Switzerland,205384,5757.8,135593,75479
65,Banco Bradesco,Banking,Brazil,76500,4677.7,370504,61340
66,Prudential,Insurance,United Kingdom,111476,3076.6,655094,67756
67,Ford Motor,Consumer Durables,United States,159589,7751,267230,44593
67,IBM,IT Software & Services,United States,80057,5682,125285,132316
69,CVS Health,Retailing,United States,185944,6648,135139,65482
70,Shanghai Pudong Development,Banking,China,48301,8163.2,974775,50739
71,Commonwealth Bank,Banking,Australia,33038,7618.4,752374,93505
72,Walt Disney,Media,United States,56826,11473,97943,152137
73,Prudential Financial,Insurance,United States,61127,7763,829677,41950
73,Rosneft,Oil & Gas Operations,Russia,94789,3908.8,214222,68972
75,Enel,Utilities,Italy,86675,4633.6,193638,61566
76,Citic Pacific,Diversified Metals & Mining,Hong Kong,57814,5633.6,962064,44397
77,Facebook,IT Software & Services,United States,44587,17847,88945,541470
78,MetLife,Insurance,United States,64085,4437,712584,47543
79,Deutsche Telekom,Telecommunications services,Germany,84535,3902.7,179078,80831
80,SAIC Motor,Consumer Durables,China,136567,5410.2,118434,63835
81,Alibaba,Retailing,China,37870,9617.4,114005,499404
82,BASF,Chemicals,Germany,75100,7067.8,98947,95299
83,Reliance Industries,Oil & Gas Operations,India,60757,5596,125165,93066
84,China State Construction Engineering,Construction,China,162275,5130.6,257557,40392
85,China Citic Bank,Banking,China,43648,6545,893992,46540
86,Sony,Consumer Durables,Japan,77089,4428.3,179272,59896
87,Westpac Banking Group,Banking,Australia,29353,6398.9,668765,76241
88,Bank of Nova Scotia,Banking,Canada,28830,6454.1,752457,74979
88,British American Tobacco,"Food, Drink & Tobacco",United Kingdom,26132,48335.8,190789,119987
90,China Minsheng Banking,Banking,China,42743,7354,954040,43524
91,Equinor,Oil & Gas Operations,Norway,65145,4861,115449,90211
92,AIA Group,Insurance,Hong Kong,31917,6120.5,213210,111406
93,Roche Holding,Drugs & Biotechnology,Switzerland,54151,8771,78682,189692
94,Lloyds Banking Group,Banking,United Kingdom,33593,4049,1098581,65391
95,Eni,Oil & Gas Operations,Italy,75483,3865.4,143132,70712
96,Charter Communications,Media,United States,42074,9908,146151,64782
97,Nissan Motor,Consumer Durables,Japan,106866,7379.3,173683,39720
98,LukOil,Oil & Gas Operations,Russia,99902,7179.9,91973,60435
99,United Technologies,Conglomerates,United States,61218,4463,98779,99591
100,Bayer,Chemicals,Germany,44351,8422.2,92726,104625
101,AIRBUS,Aerospace & Defense,Netherlands,74672,2976.5,138333,92149
102,PepsiCo,"Food, Drink & Tobacco",United States,64038,4882,81887,138141
103,Unilever,Consumer Durables,Netherlands,60587,6827.4,72390,155786
104,ANZ,Banking,Australia,28739,5272.9,717290,61245
105,Hon Hai Precision,Consumer Durables,Taiwan,154711,4560.2,114496,49490
105,Tencent Holdings,IT Software & Services,China,35269,10605.5,85177,491253
107,Oracle,IT Software & Services,United States,39471,3650,138201,191134
108,BHP Billiton,Diversified Metals & Mining,Australia,41234,4712,112582,133205
109,US Bancorp,Banking,United States,24063,6391,460119,84587
110,Zurich Insurance Group,Insurance,Switzerland,64092,3004.1,401147,48025
111,Rio Tinto,Diversified Metals & Mining,United Kingdom,40002,8714.4,95726,99306
112,Mitsubishi,Trading Companies,Japan,68278,5054.2,150794,46356
113,UniCredit Group,Banking,Italy,29007,6137,1004817,47782
114,Mizuho Financial,Banking,Japan,29729,5124.2,1850368,46195
115,EDF,Utilities,France,78540,2941.7,337127,42957
116,BBVA-Banco Bilbao Vizcaya,Banking,Spain,29239,4277.1,843010,54477
117,Sanofi,Drugs & Biotechnology,France,39540,4276,119871,94905
118,Taiwan Semiconductor,Semiconductors,Taiwan,33064,11513.8,70280,203024
119,American Express,Diversified Financials,United States,37648,3096,179956,87258
120,Saudi Basic Industries,Chemicals,Saudi Arabia,41896,4978.5,90518,91839
121,Home Depot,Retailing,United States,100904,8630,44529,219374
122,DowDuPont,Chemicals,United States,80578,1661,192441,155330
123,Telefónica,Telecommunications services,Spain,59676,3399.5,141157,51115
124,Walgreens Boots Alliance,Retailing,United States,124028,4134,70816,63556
125,National Australia Bank,Banking,Australia,25578,4116.7,610632,58172
126,Kraft Heinz Company,"Food, Drink & Tobacco",United States,26172,11099,120787,72224
127,China Evergrande Group,Real Estate,China,46035,3568.7,270539,41970
128,Fiat Chrysler Automobiles,Consumer Durables,United Kingdom,128830,4522.5,117608,34976
129,Anthem,Health Care Equipment & Services,United States,90114,4145.4,73300,59219
130,Chubb,Insurance,Switzerland,32613,3850,168781,63428
131,China Shenhua Energy,Diversified Metals & Mining,China,36431,6709,91177,64620
132,Vale,Diversified Metals & Mining,Brazil,34094,4614,94388,77407
133,China Vanke,Real Estate,China,36600,4233.5,194585,43806
134,PNC Financial Services,Banking,United States,18475,5488,379161,70880
135,Renault,Consumer Durables,France,66289,5768.3,132020,30754
136,Generali Group,Insurance,Italy,93132,2379.9,647168,30846
137,AbbVie,Drugs & Biotechnology,United States,29612,6352,69342,165321
138,China Pacific Insurance,Insurance,China,50943,2474,191097,47987
139,Bank of Montreal,Banking,Canada,22229,3742.7,593315,50878
140,Banco do Brasil,Banking,Brazil,55033,3448.8,412771,27832
141,China Everbright Bank,Banking,China,30335,4840,661698,32213
142,CK Hutchison,Conglomerates,Hong Kong,31890,4504.1,140746,45384
143,Country Garden Holdings,Real Estate,China,33789,3889.6,161190,45197
144,KDDI,Telecommunications services,Japan,45492,5165.7,61820,65526
145,Johnson & Johnson,Health Care Equipment & Services,United States,78662,1245,156625,341277
146,Iberdrola,Utilities,Spain,37766,3289,138022,49383
147,Hyundai Motor,Consumer Durables,South Korea,85908,3033,164714,31567
148,Credit Agricole,Banking,France,21051,3604,1861580,43920
149,Hitachi,Consumer Durables,Japan,84530,3275.1,95032,38516
150,Christian Dior,Consumer Durables,France,49252,2526.6,87373,76442
150,Phillips 66,Oil & Gas Operations,United States,92686,5090,52132,54857
152,ArcelorMittal,Diversified Metals & Mining,Luxembourg,68587,4566.7,85297,36820
153,United Parcel Service,Air Courier,United States,67705,5097,44464,99698
154,Medtronic,Health Care Equipment & Services,Ireland,29725,2807,95800,115965
155,FedEx,Air Courier,United States,63864,4459,51851,67044
