Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
1,ICBC,Banking,China,134774,37805,2813507,237264
2,China Construction Bank,Banking,China,113081,30617,2241031,202004
3,JPMorgan Chase,Banking,United States,108184,21284,2359141,191450
4,General Electric,Conglomerates,United States,147359,13641,685328,243735
5,Exxon Mobil,Oil & Gas Operations,United States,420714,44880,333795,400418
6,HSBC Holdings,Banking,United Kingdom,104934,14320,2684116,201312
7,Royal Dutch Shell,Oil & Gas Operations,Netherlands,467153,26592,360325,213145
8,Agricultural Bank of China,Banking,China,102998,22996,2124193,150844
9,Berkshire Hathaway,Diversified Financials,United States,162463,14824,427452,252805
9,PetroChina,Oil & Gas Operations,China,308929,18278,347849,261164
11,Bank of China,Banking,China,98119,22098,2033780,131683
12,Wells Fargo,Banking,United States,91247,18897,1422968,201348
13,Chevron,Oil & Gas Operations,United States,222580,26179,232982,232502
14,Volkswagen Group,Consumer Durables,Germany,254022,28631.5,408232,94382
15,Apple,Technology Hardware & Equipment,United States,164687,41747,196088,416622
15,Wal-Mart Stores,Retailing,United States,469162,16999,203105,242530
17,Gazprom,Oil & Gas Operations,Russia,143982,40582.9,339342,111368
18,BP,Oil & Gas Operations,United Kingdom,370866,11582,300987,130394
19,Citigroup,Banking,United States,90708,7541,1864660,143612
20,Petrobras,Oil & Gas Operations,Brazil,144103,11034,331645,120656
20,Samsung Electronics,Semiconductors,South Korea,187846,21657,196311,174393
22,BNP Paribas,Banking,France,126214,8645,2504194,71279
23,Total,Oil & Gas Operations,France,240500,14108,224124,115525
24,AT&T,Telecommunications services,United States,127434,7264,272315,200059
25,Allianz,Insurance,Germany,140254,6815,915783,66362
26,Sinopec-China Petroleum,Oil & Gas Operations,China,411684,10063,200043,106858
27,Mitsubishi UFJ Financial,Banking,Japan,59014,11854.5,2653123,85697
28,Bank of America,Banking,United States,100078,4188,2209974,135483
29,China Mobile,Telecommunications services,Hong Kong-China,88819,20488.4,168742,213824
30,ENI,Oil & Gas Operations,Italy,163655,10014,185212,86290
31,Toyota Motor,Consumer Durables,Japan,224491,3425.4,371336,167168
32,Nestlé,"Food, Drink & Tobacco",Switzerland,100639,11584,134731,233516
33,Vodafone,Telecommunications services,United Kingdom,74386,11149,219860,135675
34,IBM,IT Software & Services,United States,104507,16604,119213,239530
35,Procter & Gamble,Consumer Durables,United States,83320,12913,139903,208534
36,Daimler,Consumer Durables,Germany,150787,8040.9,211872,64091
37,Pfizer,Drugs & Biotechnology,United States,58986,14570,185798,201438
38,Statoil,Oil & Gas Operations,Norway,126771,12378,140250,78054
39,AXA Group,Insurance,France,147476,5339,1005412,45324
40,Commonwealth Bank,Banking,Australia,47837,7256.9,735216,117534
41,Microsoft,IT Software & Services,United States,72930,15459,128683,234828
42,Itaú Unibanco Holding,Banking,Brazil,70538,6166,453613,81972
43,Banco Santander,Banking,Spain,108812,2909,1647830,82146
44,BHP Billiton,Diversified Metals & Mining,Australia,72226,15417,129273,184746
45,Banco Bradesco,Banking,Brazil,78349,5554.5,417528,71571
46,Johnson & Johnson,Health Care Equipment & Services,United States,67224,10853,121347,221361
46,Nippon Telegraph & Tel,Telecommunications services,Japan,126929,5649.8,226021,58229
48,Westpac Banking Group,Banking,Australia,43860,6192.9,699633,98865
49,Goldman Sachs Group,Diversified Financials,United States,41664,7475,938555,74456
50,Royal Bank of Canada,Banking,Canada,38330,7665.8,838549,87179
51,Siemens,Conglomerates,Germany,100638,5730,134446,91923
51,Sumitomo Mitsui Financial,Banking,Japan,47281,6263.9,1733236,57587
53,Ford Motor,Consumer Durables,United States,134252,5665,190554,51801
54,Bank of Communications,Banking,China,43541,9386,846409,56749
55,BMW Group,Consumer Durables,Germany,98817,6586,165497,59959
56,Comcast,Media,United States,62570,6203,164971,106268
57,Novartis,Drugs & Biotechnology,Switzerland,56673,9505,124216,169282
58,National Australia Bank,Banking,Australia,49212,4234.4,791302,76319
59,Rosneft,Oil & Gas Operations,Russia,68843,11158,126293,73156
60,ING Group,Insurance,Netherlands,130000,5137,1533749,31864
61,Sberbank,Banking,Russia,36073,10781,441093,73335
62,American International Group,Insurance,United States,65656,3438,548633,57532
62,Telefónica,Telecommunications services,Spain,82264,5182,161458,67110
64,Lukoil,Oil & Gas Operations,Russia,116335,11004,98961,55376
65,Prudential,Insurance,United Kingdom,90205,3572.4,489406,44653
66,ANZ,Banking,Australia,37495,5872.4,666932,81226
67,Banco do Brasil,Banking,Brazil,68956,5957,552250,37949
68,Google,IT Software & Services,United States,50175,10737,93798,268445
69,BASF,Chemicals,Germany,103864,6436.7,83546,90114
70,General Motors,Consumer Durables,United States,152256,6188,149422,38547
71,TD Bank Group,Banking,Canada,30587,6687,819424,76928
72,Sanofi ,Drugs & Biotechnology,France,46104,6553,132377,131591
73,ConocoPhillips,Oil & Gas Operations,United States,58437,8429,117144,72124
74,EDF ,Utilities,France,95948,4374.7,325158,35349
75,Zurich Insurance Group,Insurance,Switzerland,70446,3878,409267,41843
76,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,39758,7243,122621,153479
77,Intel,Semiconductors,United States,53341,11005,84351,105721
78,Mizuho Financial,Banking,Japan,32805,5853,2004988,53678
79,Coca-Cola,"Food, Drink & Tobacco",United States,48017,9019,86174,173054
80,Cisco Systems,Technology Hardware & Equipment,United States,47252,9317,96378,116904
81,Munich Re,Insurance,Germany,87979,4212,340620,34876
82,Merck & Co,Drugs & Biotechnology,United States,47267,6168,106132,133256
83,Ping An Insurance Group,Insurance,China,51059,3178,456177,57000
84,Bank of Nova Scotia,Banking,Canada,27611,6411,737209,70557
85,Nissan Motor,Consumer Durables,Japan,113661,4125,133419,43411
86,Honda Motor,Consumer Durables,Japan,96013,2554.7,140944,72395
87,Vale,Diversified Metals & Mining,Brazil,45671,4754,130365,92694
88,PepsiCo,"Food, Drink & Tobacco",United States,65492,6178,74638,118856
89,Hyundai Motor,Consumer Durables,South Korea,75026,7605,114254,41460
90,UnitedHealth Group,Health Care Equipment & Services,United States,110618,5526,80885,56094
91,BBVA-Banco Bilbao Vizcaya,Banking,Spain,52119,2209.6,840850,54653
92,United Technologies,Conglomerates,United States,57708,5130,89409,85504
93,Roche Holding,Drugs & Biotechnology,Switzerland,49671,10413.7,65493,198935
94,Saudi Basic Industries,Chemicals,Saudi Arabia,50394,6606,90238,74796
95,GDF Suez,Utilities,France,128018,2045,268902,44984
96,Boeing,Aerospace & Defense,United States,81698,3900,88896,65355
97,Caterpillar,Capital Goods,United States,65875,5681,89356,58188
98,Standard Chartered,Banking,United Kingdom,26908,4887,636518,64371
99,E.ON,Utilities,Germany,174150,2923,184899,32540
100,América Móvil,Telecommunications services,Mexico,60238,7106.8,74586,70741
101,China Merchants Bank,Banking,China,28395,7267,547039,44114
102,Oracle,IT Software & Services,United States,37149,10570,79450,172044
103,Unilever,"Food, Drink & Tobacco",Netherlands,67710,5916,59909,122317
104,CVS Caremark,Retailing,United States,123133,3877,65912,65957
105,Tesco,Food Markets,United Kingdom,102769,4468,81083,46940
106,China Life Insurance,Insurance,China,63233,1753,304558,79949
107,China Minsheng Banking,Banking,China,27924,6149,515545,43916
108,American Express,Diversified Financials,United States,33808,4482,153140,73006
108,Walt Disney,Media,United States,42840,5600,80642,103957
110,Mitsubishi Corp,Trading Companies,Japan,67235,5482.5,152624,32103
111,Cnooc,Oil & Gas Operations,Hong Kong-China,39246,10094,73202,84344
112,GlaxoSmithKline,Drugs & Biotechnology,United Kingdom,42977,7422.8,63541,111091
113,Hon Hai Precision ,Consumer Durables,Taiwan,132070,10684,65774,32145
114,Ecopetrol,Oil & Gas Operations,Colombia,38970,8365,64448,116217
115,China Shenhua Energy,Diversified Metals & Mining,China,39663,7743,70161,70764
116,US Bancorp,Banking,United States,22202,5647,353855,63765
117,Hitachi,Consumer Durables,Japan,116764,4194,113181,28458
118,Nordea Bank,Banking,Sweden,23178,4163.8,892635,47124
119,Schlumberger,Oil & Gas Operations,Netherlands,42321,5490,61547,105464
120,Bayer ,Chemicals,Germany,52454,3226.9,65597,84872
121,Reliance Industries,Oil & Gas Operations,India,70319,3877.7,64224,50409
122,MetLife,Insurance,United States,68150,1324,836781,43962
123,Abbott Laboratories,Health Care Equipment & Services,United States,39874,5963,67235,53623
124,Iberdrola,Utilities,Spain,45120,3747.6,121690,33634
125,Shanghai Pudong Development,Banking,China,25423,5418,504524,31552
126,Mitsui & Co,Trading Companies,Japan,63439,5248.7,109316,26962
127,Swiss Re ,Insurance,Switzerland,33624,4257,215785,30798
128,China Citic Bank,Banking,China,24366,4918,474730,32504
129,Home Depot,Retailing,United States,74754,4535,41084,103299
130,Phillips 66,Oil & Gas Operations,United States,166089,4124,48073,39870
131,Bank of Montreal,Banking,Canada,20931,4060,542889,40996
132,Credit Suisse Group,Diversified Financials,Switzerland,42518,1620.1,1009599,37060
133,Møller-Maersk,Transportation,Denmark,60510,3833.9,73672,35030
134,Verizon Communications,Telecommunications services,United States,115846,875,225222,137289
135,EADS,Aerospace & Defense,Netherlands,74512,1620,115471,46036
136,State Bank of India,Banking,India,35054,3016.4,359097,28082
137,Hutchison Whampoa,Conglomerates,Hong Kong-China,31338,3368,103715,45051
137,News Corp,Media,United States,34333,3998,62745,70595
139,China Telecom,Telecommunications services,China,44864,2365,87421,42030
140,Capital One Financial,Diversified Financials,United States,23771,3517,312918,32134
141,Repsol YPF,Oil & Gas Operations,Spain,77736,2717.7,81228,28774
142,Industrial Bank ,Banking,China,18741,4052.2,382338,38239
142,Suncor Energy,Oil & Gas Operations,Canada,38783,2795,76779,47347
144,PTT PCL,Oil & Gas Operations,Thailand,89939,3369,53329,32887
145,ENEL,Utilities,Italy,111917,1140,226310,32166
146,Société Générale,Banking,France,107784,1020.4,1648907,29518
147,Target,Retailing,United States,73301,2999,48163,43106
148,Softbank,Telecommunications services,Japan,38685,3790.1,58271,47188
149,AstraZeneca,Drugs & Biotechnology,United Kingdom,28558,6429,52406,57970
150,AIA Group,Insurance,Hong Kong-China,20449,3019,134439,53545
151,Occidental Petroleum,Oil & Gas Operations,United States,24253,4598,64210,67397
152,Philip Morris International,"Food, Drink & Tobacco",United States,31377,8800,37670,150558
153,Time Warner,Media,United States,28729,3019,68304,52956
154,UniCredit Group,Banking,Italy,54150,1140,1221921,28957
155,Oil & Natural Gas,Oil & Gas Operations,India,28895,5533,52099,50546
156,Manulife Financial,Insurance,Canada,37322,1640,488155,27762
157,Glencore International,Diversified Metals & Mining,Switzerland,214436,1004,105537,41664
158,ABB,Conglomerates,Switzerland,40057,2754,48771,53391
159,British American Tobacco,"Food, Drink & Tobacco",United Kingdom,24075,6088,44160,101989
